id,date,title,time,duration,details
1,2025-11-03,Doctor Checkup,11:00,30,Annual checkup with Dr. Brown.
2,2025-11-10,Haircut,14:00,45,Trim and style.
3,2025-11-17,Family Dinner,18:00,120,Dinner with Michael and Jennifer's families.
4,2025-11-24,Theatre Show,19:30,150,"Play: The Mousetrap"
5,2025-12-01,Dental Cleaning,10:00,60,Annual cleaning with Dr. Smile.
6,2025-12-08,Cardiology Follow-up,09:30,30,Follow-up with Dr. Singh at Riverside.
7,2025-12-15,Podiatrist,13:00,30,Checkup at Guelph Foot Clinic.
8,2025-12-22,Lunch with Betty,12:30,90,Lunch with Betty White (friend from 312).
9,2025-12-29,Family Dinner,17:00,180,New Year's dinner at Jennifer's house.
10,2026-01-05,Doctor Follow-up,11:30,15,Follow-up on test results with Dr. Brown.
11,2026-01-12,Haircut,14:00,45,Trim.
12,2026-01-19,Theatre Show,14:00,180,"Matinee: Come From Away"